Bundeslandkennziffer	Politischer Bezirk	Politischer Bez. Code
1	Eisenstadt(Stadt)	101
1	Rust(Stadt)	102
1	Eisenstadt-Umgebung	103
1	Güssing	104
1	Jennersdorf	105
1	Mattersburg	106
1	Neusiedl am See	107
1	Oberpullendorf	108
1	Oberwart	109
2	Klagenfurt Stadt	201
2	Villach Stadt	202
2	Hermagor	203
2	Klagenfurt Land	204
2	Sankt Veit an der Glan	205
2	Spittal an der Drau	206
2	Villach Land	207
2	Völkermarkt	208
2	Wolfsberg	209
2	Feldkirchen	210
3	Krems an der Donau(Stadt)	301
3	Sankt Pölten(Stadt)	302
3	Waidhofen an der Ybbs(Stadt)	303
3	Wiener Neustadt(Stadt)	304
3	Amstetten	305
3	Baden	306
3	Bruck an der Leitha	307
3	Gänserndorf	308
3	Gmünd	309
3	Hollabrunn	310
3	Horn	311
3	Korneuburg	312
3	Krems(Land)	313
3	Lilienfeld	314
3	Melk	315
3	Mistelbach	316
3	Mödling	317
3	Neunkirchen	318
3	Sankt Pölten(Land)	319
3	Scheibbs	320
3	Tulln	321
3	Waidhofen an der Thaya	322
3	Wiener Neustadt(Land)	323
3	Zwettl	325
4	Linz(Stadt)	401
4	Steyr(Stadt)	402
4	Wels(Stadt)	403
4	Braunau am Inn	404
4	Eferding	405
4	Freistadt	406
4	Gmunden	407
4	Grieskirchen	408
4	Kirchdorf an der Krems	409
4	Linz-Land	410
4	Perg	411
4	Ried im Innkreis	412
4	Rohrbach	413
4	Schärding	414
4	Steyr-Land	415
4	Urfahr-Umgebung	416
4	Vöcklabruck	417
4	Wels-Land	418
5	Salzburg(Stadt)	501
5	Hallein	502
5	Salzburg-Umgebung	503
5	Sankt Johann im Pongau	504
5	Tamsweg	505
5	Zell am See	506
6	Graz(Stadt)	601
6	Deutschlandsberg	603
6	Graz-Umgebung	606
6	Leibnitz	610
6	Leoben	611
6	Liezen	612
6	Murau	614
6	Voitsberg	616
6	Weiz	617
6	Murtal	620
6	Bruck-Mürzzuschlag	621
6	Hartberg-Fürstenfeld	622
6	Südoststeiermark	623
7	Innsbruck-Stadt	701
7	Imst	702
7	Innsbruck-Land	703
7	Kitzbühel	704
7	Kufstein	705
7	Landeck	706
7	Lienz	707
7	Reutte	708
7	Schwaz	709
8	Bludenz	801
8	Bregenz	802
8	Dornbirn	803
8	Feldkirch	804
9	Wien(Stadt)	900
9	Wien  1.,Innere Stadt	901
9	Wien  2.,Leopoldstadt	902
9	Wien  3.,Landstraße	903
9	Wien  4.,Wieden	904
9	Wien  5.,Margareten	905
9	Wien  6.,Mariahilf	906
9	Wien  7.,Neubau	907
9	Wien  8.,Josefstadt	908
9	Wien  9.,Alsergrund	909
9	Wien 10.,Favoriten	910
9	Wien 11.,Simmering	911
9	Wien 12.,Meidling	912
9	Wien 13.,Hietzing	913
9	Wien 14.,Penzing	914
9	Wien 15.,Rudolfsheim-Fünfhaus	915
9	Wien 16.,Ottakring	916
9	Wien 17.,Hernals	917
9	Wien 18.,Währing	918
9	Wien 19.,Döbling	919
9	Wien 20.,Brigittenau	920
9	Wien 21.,Floridsdorf	921
9	Wien 22.,Donaustadt	922
9	Wien 23.,Liesing	923
